央视频道,#genre#
CCTV-1 综合,http://z.b.bkpcp.top/m.php?id=cctv1
CCTV-2 财经,http://z.b.bkpcp.top/m.php?id=cctv2
CCTV-3 综艺,http://z.b.bkpcp.top/m.php?id=cctv3
CCTV-4 中文国际,http://z.b.bkpcp.top/m.php?id=cctv4
CCTV-5 体育,http://z.b.bkpcp.top/m.php?id=cctv5
CCTV-5+ 体育赛事,http://z.b.bkpcp.top/m.php?id=cctv5p
CCTV-6 电影,http://z.b.bkpcp.top/m.php?id=cctv6
CCTV-7 国防军事,http://z.b.bkpcp.top/m.php?id=cctv7
CCTV-8 电视剧,http://z.b.bkpcp.top/m.php?id=cctv8
CCTV-9 纪录,http://z.b.bkpcp.top/m.php?id=cctv9
CCTV-10 科教,http://z.b.bkpcp.top/m.php?id=cctv10
CCTV-11 戏曲,http://z.b.bkpcp.top/m.php?id=cctv11
CCTV-12 社会与法,http://z.b.bkpcp.top/m.php?id=cctv12
CCTV-13 新闻,http://z.b.bkpcp.top/m.php?id=cctv13
CCTV-14 少儿,http://z.b.bkpcp.top/m.php?id=cctv14
CCTV-15 音乐,http://z.b.bkpcp.top/m.php?id=cctv15
CCTV-17 农业农村,http://z.b.bkpcp.top/m.php?id=cctv17

央卫备用1,#genre#
CCTV-1 综合,http://148.135.93.213:81/live.php?id=CCTV1
CCTV-2 财经,http://148.135.93.213:81/live.php?id=CCTV2
CCTV-3 综艺,http://148.135.93.213:81/live.php?id=CCTV3
CCTV-4 中文国际,http://148.135.93.213:81/live.php?id=CCTV4
CCTV-5 体育,http://148.135.93.213:81/live.php?id=CCTV5
CCTV-5+ 体育赛事,http://148.135.93.213:81/live.php?id=CCTV5p
CCTV-6 电影,http://148.135.93.213:81/live.php?id=CCTV6
CCTV-7 国防军事,http://148.135.93.213:81/live.php?id=CCTV7
CCTV-8 电视剧,http://148.135.93.213:81/live.php?id=CCTV8
CCTV-9 纪录,http://148.135.93.213:81/live.php?id=CCTV9
CCTV-10 科教,http://148.135.93.213:81/live.php?id=CCTV10
CCTV-11 戏曲,http://148.135.93.213:81/live.php?id=CCTV11
CCTV-12 社会与法,http://148.135.93.213:81/live.php?id=CCTV12
CCTV-13 新闻,http://148.135.93.213:81/live.php?id=CCTV13
CCTV-14 少儿,http://148.135.93.213:81/live.php?id=CCTV14
CCTV-15 音乐,http://148.135.93.213:81/live.php?id=CCTV15
CCTV-17 农业农村,http://148.135.93.213:81/live.php?id=CCTV17
北京卫视,http://148.135.93.213:81/live.php?id=北京卫视
湖南卫视,http://148.135.93.213:81/live.php?id=湖南卫视
浙江卫视,http://148.135.93.213:81/live.php?id=浙江卫视#http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
江苏卫视,http://148.135.93.213:81/live.php?id=江苏卫视
陕西卫视,http://148.135.93.213:81/live.php?id=陕西卫视
湖北卫视,http://148.135.93.213:81/live.php?id=湖北卫视
内蒙古卫视,http://148.135.93.213:81/live.php?id=内蒙古卫视#https://livestream-bt.nmtv.cn/nmtv/2314general.m3u8?txSecret=35f2dd39972cede5222c6bd2c0efe24b&txTime=77395680
江西卫视,http://148.135.93.213:81/live.php?id=江西卫视
广东卫视,http://148.135.93.213:81/live.php?id=广东卫视
东南卫视,http://148.135.93.213:81/live.php?id=东南卫视
吉林卫视,http://148.135.93.213:81/live.php?id=吉林卫视
四川卫视,http://148.135.93.213:81/live.php?id=四川卫视
天津卫视,http://148.135.93.213:81/live.php?id=天津卫视
安徽卫视,http://148.135.93.213:81/live.php?id=安徽卫视
山东卫视,http://148.135.93.213:81/live.php?id=山东卫视
山西卫视,http://148.135.93.213:81/live.php?id=山西卫视
广西卫视,http://148.135.93.213:81/live.php?id=广西卫视
河北卫视,http://148.135.93.213:81/live.php?id=河北卫视
河南卫视,http://148.135.93.213:81/live.php?id=河南卫视
深圳卫视,http://148.135.93.213:81/live.php?id=深圳卫视
甘肃卫视,http://148.135.93.213:81/live.php?id=甘肃卫视
贵州卫视,http://148.135.93.213:81/live.php?id=贵州卫视
辽宁卫视,http://148.135.93.213:81/live.php?id=辽宁卫视
重庆卫视,http://148.135.93.213:81/live.php?id=重庆卫视
黑龙江卫视,http://148.135.93.213:81/live.php?id=黑龙江卫视
海南卫视,http://148.135.93.213:81/live.php?id=海南卫视
西藏卫视,http://148.135.93.213:81/live.php?id=西藏卫视
延边卫视,http://live.ybtvyun.com/video/s10016-7e5f23de35df/index.m3u8
兵团卫视,https://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=f35a89681647856030

电影轮播,#genre#
成龙电影,http://zzy789.xyz/douyu1.php?id=3379942
狄仁杰系列,http://1.94.31.214:35455/huya/30080229
黄渤电影,http://1.94.31.214:35455/huya/11352876
强森电影,http://1.94.31.214:35455/huya/21059581
X战警电影,http://zzy789.xyz/douyu1.php?id=9651304
欧美大片,http://zzy789.xyz/douyu1.php?id=2793084
可乐影院,http://tc-tct.douyucdn2.cn/dyliveflv1a/20415rnWbjg6Ex1K_2000.flv?wsAuth=3b64dd17d293b133c58bda21e3147e5b&token=cpn-androidmpro-0-20415-b6774b3b3249db1768f0ac048c5ed218ac54e1f82b04b2bf&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play2
神乐影剧,http://tc-tct.douyucdn2.cn/dyliveflv1/122402rK7MO9bXSq_2000.flv?wsAuth=8cea39337984fd3341cc9ec569502e4f&token=cpn-androidmpro-0-122402-0fcea45d2300cfa0ac75fafd8679bb53af10de8c33ae99d9&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=p

数字频道,#genre#
CHC影迷电影,http://58.19.38.162:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影,http://58.19.38.162:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
1905电影网,http://php.jdshipin.com:8880/1905.php?id=1905dy
漫威电影,http://zzy789.xyz/douyu1.php?id=6140589
